adj_left adj_right conseq_pro_3 conseq_pro_4 conseq_pro_>4 num_words pro sent_id shift swap
10 4 0 0 0 15 7 8301 15 0
2 2 0 0 0 5 2 15155 5 0
5 9 0 0 0 15 10 17680 15 0
0 0 0 0 0 1 1 2380 1 0
10 6 0 0 0 17 10 15848 17 0
4 2 0 0 0 7 3 26410 7 0
0 1 0 0 0 2 2 3511 2 0
14 6 0 0 0 21 13 33938 21 0
2 4 0 0 0 7 3 16813 11 4
1 1 0 0 0 3 1 28998 3 0
17 13 0 0 0 31 12 37472 41 10
10 12 0 0 0 23 11 18404 23 0
10 5 0 0 0 16 8 18738 18 2
14 9 0 0 0 24 11 32990 24 0
1 5 0 0 0 7 3 27434 7 0
5 3 0 0 0 9 3 4344 9 0
3 5 0 0 0 9 5 11947 12 3
37 9 0 0 0 47 32 35073 47 0
16 6 0 0 0 23 11 6011 23 0
5 6 0 0 0 12 7 17623 12 0
23 30 0 0 0 54 20 13887 58 4
9 9 0 0 0 19 10 38388 19 0
14 6 0 0 0 21 9 20793 21 0
18 10 0 0 0 29 15 33312 29 0
11 11 0 0 0 23 8 21406 23 0
9 14 0 0 0 24 11 2623 43 19
7 3 0 0 0 11 4 29929 11 0
6 5 0 0 0 12 6 11165 12 0
8 8 0 0 0 17 9 26867 21 4
8 14 0 0 0 23 10 7099 29 6
6 5 0 0 0 12 3 37703 12 0
15 10 0 0 0 26 11 36048 32 6
7 5 0 0 0 13 6 13280 13 0
17 8 0 0 0 26 11 8655 26 0
3 7 0 0 0 11 6 27101 11 0
11 10 0 0 0 22 10 10422 26 4
4 7 0 0 0 12 6 37253 12 0
13 10 0 0 0 24 9 38807 24 0
21 19 0 0 0 41 20 14261 43 2
4 3 0 0 0 8 4 1467 8 0
15 4 0 0 0 20 9 15767 20 0
11 15 0 0 0 27 11 24846 39 12
8 14 0 0 0 23 9 26239 23 0
14 1 0 0 0 16 9 37088 16 0
9 7 0 0 0 17 8 20155 17 0
14 4 0 0 0 19 9 13783 19 0
19 15 0 0 0 35 21 16415 40 5
23 12 0 0 0 36 19 19593 36 0
3 5 0 0 0 9 4 29856 9 0
13 12 0 0 0 26 11 23282 26 0
10 0 0 0 0 11 6 5203 11 0
9 3 0 0 0 13 6 5673 19 6
9 2 0 0 0 12 7 8183 12 0
10 2 0 0 0 13 6 23605 13 0
16 7 0 0 0 24 11 12068 24 0
28 22 0 0 0 51 24 19125 52 1
13 9 0 0 0 23 11 7461 23 0
12 1 0 0 0 14 9 29359 14 0
12 5 0 0 0 18 11 27476 19 1
5 10 0 0 0 16 7 29840 16 0
0 0 0 0 0 1 1 39488 1 0
20 17 0 0 0 38 20 31571 50 12
4 1 0 0 0 6 3 25949 6 0
5 4 0 0 0 10 5 16785 10 0
16 18 0 0 0 35 16 24737 38 3
7 3 0 0 0 11 6 22345 11 0
6 0 0 0 0 7 5 40075 7 0
5 14 0 0 0 20 9 32627 20 0
30 10 0 0 0 41 17 14856 51 10
0 2 0 0 0 3 1 15179 3 0
12 9 0 0 0 22 9 40112 25 3
6 8 0 0 0 15 7 15004 15 0
22 8 0 0 0 31 14 32940 31 0
2 3 0 0 0 6 4 31809 6 0
13 7 0 0 0 21 9 28701 42 21
13 9 0 0 0 23 10 25730 26 3
18 5 0 0 0 24 12 24622 24 0
12 18 0 0 0 31 14 15760 33 2
3 7 0 0 0 11 6 14181 13 2
19 8 0 0 0 28 13 19550 31 3
2 5 0 0 0 8 4 17300 8 0
3 0 0 0 0 4 1 30348 4 0
10 8 0 0 0 19 7 20131 27 8
11 5 0 0 0 17 13 33428 17 0
16 7 0 0 0 24 11 25263 24 0
13 19 0 0 0 33 12 4357 33 0
4 1 0 0 0 6 4 35677 6 0
8 14 0 0 0 23 11 11754 41 18
7 5 0 0 0 13 6 36426 13 0
8 3 0 0 0 12 5 13072 12 0
5 17 0 0 0 23 12 40187 23 0
9 18 0 0 0 28 13 18779 36 8
12 9 0 0 0 22 9 26555 22 0
1 2 0 0 0 4 3 17241 4 0
6 9 0 0 0 16 10 34274 16 0
5 7 0 0 0 13 7 10374 17 4
14 12 0 0 0 27 13 11878 27 0
25 10 0 0 0 36 19 26234 39 3
0 0 0 0 0 1 1 34707 1 0
3 2 0 0 0 6 3 36910 6 0
12 5 0 0 0 18 10 26582 18 0
14 4 0 0 0 19 9 4759 19 0
15 13 0 0 0 29 16 15571 36 7
13 3 0 0 0 17 10 28299 19 2
8 5 0 0 0 14 6 879 14 0
8 8 0 0 0 17 8 27370 20 3
4 3 0 0 0 8 5 18924 12 4
3 5 0 0 0 9 5 37372 9 0
4 7 0 0 0 12 5 13772 12 0
8 4 0 0 0 13 5 17540 13 0
8 15 0 0 0 24 10 11056 24 0
12 3 0 0 0 16 9 18614 16 0
12 6 0 0 0 19 8 12831 19 0
5 7 0 0 0 13 6 39678 14 1
3 3 0 0 0 7 4 31721 7 0
1 3 0 0 0 5 3 2634 5 0
13 23 0 0 0 37 17 15525 37 0
10 7 0 0 0 18 9 39864 18 0
1 1 0 0 0 3 2 33541 3 0
4 7 0 0 0 12 6 3456 12 0
1 5 0 0 0 7 3 17089 7 0
4 10 0 0 0 15 7 35372 15 0
3 4 0 0 0 8 2 20152 8 0
26 11 0 0 0 38 16 1224 40 2
30 15 0 0 0 46 19 26067 46 0
8 7 0 0 0 16 9 39781 16 0
12 10 0 0 0 23 10 35934 24 1
2 1 0 0 0 4 2 26993 4 0
3 7 0 0 0 11 5 15270 11 0
2 0 0 0 0 3 2 18495 3 0
2 5 0 0 0 8 2 1753 8 0
0 0 0 0 0 1 1 29984 1 0
6 2 0 0 0 9 5 34156 9 0
4 0 0 0 0 5 2 25070 5 0
5 6 0 0 0 12 7 38585 12 0
16 19 0 0 0 36 14 23004 36 0
12 5 0 0 0 18 9 6713 22 4
7 4 0 0 0 12 6 6573 12 0
5 9 0 0 0 15 6 415 15 0
8 9 0 0 0 18 8 38629 18 0
26 42 0 0 0 69 25 25673 70 1
11 7 0 0 0 19 9 9636 19 0
16 10 0 0 0 27 13 22872 32 5
13 8 0 0 0 22 10 4479 23 1
20 10 0 0 0 31 14 16998 34 3
3 11 0 0 0 15 5 36562 17 2
18 16 0 0 0 35 16 4267 35 0
9 12 0 0 0 22 11 1434 22 0
7 2 0 0 0 10 6 2735 10 0
7 10 0 0 0 18 8 18850 22 4
6 5 0 0 0 12 7 21 12 0
5 4 0 0 0 10 6 10401 12 2
1 3 0 0 0 5 3 13316 5 0
11 7 0 0 0 19 12 1490 30 11
6 13 0 0 0 20 8 9135 20 0
0 2 0 0 0 3 4 33520 3 0
3 3 0 0 0 7 5 18840 7 0
6 5 0 0 0 12 5 36591 12 0
10 19 0 0 0 30 12 22596 34 4
26 14 0 0 0 41 19 14287 49 8
2 5 0 0 0 8 2 1647 8 0
6 0 0 0 0 7 5 39829 7 0
20 15 0 0 0 36 17 12788 39 3
1 0 0 0 0 2 2 25562 2 0
13 11 0 0 0 25 15 33455 27 2
2 1 0 0 0 4 2 38624 4 0
4 1 0 0 0 6 3 37717 6 0
4 6 0 0 0 11 5 7959 11 0
7 10 0 0 0 18 7 22840 18 0
13 5 0 0 0 19 7 23216 19 0
15 3 0 0 0 19 8 32304 19 0
5 10 0 0 0 16 8 5300 16 0
6 21 0 0 0 28 11 19764 29 1
3 7 0 0 0 11 6 20877 11 0
4 4 0 0 0 9 4 13381 9 0
12 8 0 0 0 21 10 26505 31 10
22 12 0 0 0 35 15 22333 35 0
28 23 0 0 0 52 27 23455 54 2
9 15 0 0 0 25 12 18547 29 4
9 12 0 0 0 22 11 15616 22 0
0 3 0 0 0 4 3 16818 4 0
7 6 0 0 0 14 8 23569 14 0
10 8 0 0 0 19 9 9786 19 0
22 16 0 0 0 39 17 6260 39 0
9 10 0 0 0 20 9 27007 20 0
6 8 0 0 0 15 6 25028 15 0
7 9 0 0 0 17 8 25123 23 6
6 4 0 0 0 11 5 13927 11 0
13 6 0 0 0 20 10 34679 25 5
15 14 0 0 0 30 15 16742 30 0
2 0 0 0 0 3 2 1439 3 0
6 2 0 0 0 9 4 40364 9 0
9 6 0 0 0 16 6 24242 16 0
14 3 0 0 0 18 9 26870 18 0
8 7 0 0 0 16 8 37133 16 0
4 4 0 0 0 9 5 3853 9 0
25 26 0 0 0 52 20 26798 53 1
5 12 0 0 0 18 6 25511 19 1
14 15 0 0 0 30 17 17007 45 15
7 3 0 0 0 11 4 23688 11 0
8 8 0 0 0 17 8 28842 23 6
10 10 0 0 0 21 10 35436 21 0
11 7 0 0 0 19 9 27045 19 0
10 9 0 0 0 20 9 18730 29 9
27 9 0 0 0 37 20 16040 37 0
7 11 0 0 0 19 8 9342 19 0
11 10 0 0 0 22 12 33611 22 0
14 14 0 0 0 29 13 12073 29 0
11 1 0 0 0 13 4 10573 13 0
1 3 0 0 0 5 3 29795 5 0
9 18 0 0 0 28 14 5411 28 0
7 9 0 0 0 17 8 39091 17 0
5 4 0 0 0 10 4 30492 13 3
15 3 0 0 0 19 10 3763 19 0
20 6 0 0 0 27 12 21175 27 0
8 3 0 0 0 12 8 13920 12 0
2 2 0 0 0 5 3 469 5 0
13 8 0 0 0 22 8 4982 22 0
12 12 0 0 0 25 13 7330 26 1
14 10 0 0 0 25 13 32790 33 8
0 0 0 0 0 1 1 33931 1 0
1 3 0 0 0 5 2 26036 5 0
27 18 0 0 0 46 19 28010 46 0
21 26 0 0 0 48 21 13323 52 4
9 13 0 0 0 23 10 33190 23 0
5 5 0 0 0 11 4 5558 11 0
10 10 0 0 0 21 9 37747 21 0
13 25 0 0 0 39 15 21013 39 0
14 13 0 0 0 28 12 19110 28 0
12 9 0 0 0 22 12 18965 23 1
4 5 0 0 0 10 5 9688 10 0
20 11 0 0 0 32 15 28717 32 0
10 9 0 0 0 20 9 26451 20 0
8 8 0 0 0 17 9 18227 26 9
4 15 0 0 0 20 8 21092 20 0
0 0 0 0 0 1 1 33923 1 0
6 6 0 0 0 13 7 32769 13 0
7 5 0 0 0 13 7 31037 13 0
13 15 0 0 0 29 15 34753 29 0
14 8 0 0 0 23 12 20851 27 4
6 9 0 0 0 16 5 25655 16 0
13 8 0 0 0 22 9 20019 22 0
3 0 0 0 0 4 3 8358 4 0
8 3 0 0 0 12 7 31724 18 6
14 18 0 0 0 33 13 6190 35 2
18 7 0 0 0 26 11 8320 26 0
14 8 0 0 0 23 11 17862 24 1
7 10 0 0 0 18 10 9336 18 0
12 15 0 0 0 28 16 20831 30 2
11 5 0 0 0 17 9 32058 17 0
10 7 0 0 0 18 8 39247 18 0
7 5 0 0 0 13 7 4049 13 0
17 11 0 0 0 29 14 39363 29 0
0 6 0 0 0 7 1 4932 7 0
2 5 0 0 0 8 2 19867 8 0
2 2 0 0 0 5 4 31263 5 0
25 9 0 0 0 35 16 14583 35 0
10 13 0 0 0 24 13 2050 24 0
11 7 0 0 0 19 9 33814 19 0
7 0 0 0 0 8 5 38634 8 0
6 0 0 0 0 7 3 26019 7 0
9 0 0 0 0 10 6 2880 10 0
6 13 0 0 0 20 8 40301 20 0
6 8 0 0 0 15 5 22775 15 0
8 6 0 0 0 15 7 9789 15 0
12 7 0 0 0 20 9 18001 20 0
4 7 0 0 0 12 5 2150 12 0
3 3 0 0 0 7 4 13926 7 0
5 0 0 0 0 6 3 37354 6 0
11 2 0 0 0 14 7 12322 14 0
5 0 0 0 0 6 7 30926 6 0
1 3 0 0 0 5 4 5328 5 0
6 2 0 0 0 9 5 31138 9 0
14 12 0 0 0 27 13 9006 33 6
4 2 0 0 0 7 4 18915 11 4
24 15 0 0 0 40 15 36260 40 0
12 8 0 0 0 21 12 36182 25 4
11 8 0 0 0 20 10 16847 20 0
13 18 0 0 0 32 13 19710 35 3
0 0 0 0 0 1 1 29922 1 0
3 7 0 0 0 11 6 18973 13 2
16 9 0 0 0 26 12 31491 26 0
11 1 0 0 0 13 7 25475 13 0
0 5 0 0 0 6 3 21653 6 0
6 8 0 0 0 15 6 15715 15 0
5 2 0 0 0 8 3 18200 8 0
3 7 0 0 0 11 5 27053 11 0
8 10 0 0 0 19 9 36898 19 0
8 11 0 0 0 20 9 19406 28 8
5 5 0 0 0 11 6 21267 13 2
3 1 0 0 0 5 3 26675 5 0
